UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
198729,"R",82,"R",3886448,"Z",0,"Z",0,"Z",0,"Z",0,"R",11,"R",477804,"R",26,"R",1713708,"R",7,"R",294552,"R",5,"R",216120,"R",10,"R",454940,"Z",0,"Z",0,"R",4,"R",95964,"R",1,"R",31980,"R",15,"R",503916,"R",3,"R",97464,"Z",0,"Z",0
198747,"R",7,"R",401336,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",169000,"R",1,"R",124336,"R",1,"R",60000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",48000,"Z",0,"Z",0,"Z",0,"Z",0
198756,"R",176,"R",9226532,"Z",0,"Z",0,"Z",0,"Z",0,"R",13,"R",535717,"R",53,"R",4182753,"R",6,"R",277362,"R",12,"R",658974,"R",16,"R",750341,"R",3,"R",118763,"R",20,"R",605006,"R",3,"R",134165,"R",41,"R",1652408,"R",8,"R",278221,"R",1,"R",32822
198774,"R",184,"R",9158768,"Z",0,"Z",0,"Z",0,"Z",0,"R",37,"R",1805893,"R",36,"R",2878927,"R",12,"R",644826,"R",12,"R",551070,"R",13,"R",597754,"Z",0,"Z",0,"R",29,"R",963356,"Z",0,"Z",0,"R",38,"R",1456074,"R",7,"R",260868,"Z",0,"Z",0
198808,"R",111,"R",3945442,"Z",0,"Z",0,"Z",0,"Z",0,"R",9,"R",339348,"R",8,"R",755463,"R",8,"R",315160,"R",5,"R",210000,"R",30,"R",808151,"R",1,"R",26313,"R",18,"R",417588,"Z",0,"Z",0,"R",25,"R",882004,"R",7,"R",191415,"Z",0,"Z",0
198817,"R",137,"R",6731964,"Z",0,"Z",0,"R",26,"R",1350912,"R",6,"R",306924,"R",17,"R",1607112,"R",1,"R",83436,"R",8,"R",417960,"R",7,"R",372000,"Z",0,"Z",0,"R",20,"R",559092,"Z",0,"Z",0,"R",52,"R",2034528,"Z",0,"Z",0,"Z",0,"Z",0
198835,"R",154,"R",8222530,"Z",0,"Z",0,"Z",0,"Z",0,"R",34,"R",1475760,"R",22,"R",2327824,"R",23,"R",1119431,"Z",0,"Z",0,"R",41,"R",2092990,"R",5,"R",195441,"R",3,"R",88816,"Z",0,"Z",0,"R",26,"R",922268,"Z",0,"Z",0,"Z",0,"Z",0
198862,"R",139,"R",6450874,"Z",0,"Z",0,"Z",0,"Z",0,"R",19,"R",841792,"R",10,"R",1193000,"R",21,"R",965078,"R",5,"R",246519,"R",19,"R",821500,"R",1,"R",45000,"R",18,"R",555371,"Z",0,"Z",0,"R",45,"R",1749334,"Z",0,"Z",0,"R",1,"R",33280
198871,"R",80,"R",2982118,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",12,"R",859896,"R",3,"R",135000,"R",1,"R",48500,"R",20,"R",739058,"R",3,"R",108940,"R",15,"R",300707,"Z",0,"Z",0,"R",19,"R",628769,"R",7,"R",161248,"Z",0,"Z",0
198899,"R",186,"R",7030242,"Z",0,"Z",0,"Z",0,"Z",0,"R",25,"R",940772,"R",25,"R",1501585,"R",7,"R",374599,"R",5,"R",237860,"R",45,"R",1782120,"R",5,"R",184420,"R",33,"R",817999,"R",3,"R",75787,"R",26,"R",822521,"R",12,"R",292579,"Z",0,"Z",0
198905,"R",64,"R",2797594,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"R",200242,"R",23,"R",1347913,"R",2,"R",86335,"R",3,"R",151421,"R",4,"R",172134,"Z",0,"Z",0,"R",8,"R",235661,"Z",0,"Z",0,"R",17,"R",572216,"Z",0,"Z",0,"R",1,"R",31672
198914,"R",73,"R",3711786,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",123228,"R",29,"R",1986846,"R",7,"R",297504,"R",3,"R",128088,"R",10,"R",431784,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",18,"R",647304,"R",3,"R",97032,"Z",0,"Z",0
198923,"R",66,"R",3114742,"R",1,"R",57216,"Z",0,"Z",0,"R",48,"R",2194140,"R",2,"R",191498,"R",7,"R",342608,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",106500,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",83796,"R",4,"R",138984,"Z",0,"Z",0
198950,"R",282,"R",14481583,"Z",0,"Z",0,"Z",0,"Z",0,"R",46,"R",2037045,"R",47,"R",4650202,"R",17,"R",935427,"R",33,"R",1879232,"R",19,"R",876429,"R",4,"R",195895,"R",49,"R",1345201,"Z",0,"Z",0,"R",57,"R",2121316,"R",9,"R",415210,"R",1,"R",25626
198969,"R",283,"R",12422367,"Z",0,"Z",0,"R",1,"R",36000,"R",17,"R",716088,"R",33,"R",2919293,"R",13,"R",639201,"R",11,"R",699130,"R",57,"R",2626127,"R",7,"R",278838,"R",78,"R",2317929,"R",2,"R",53893,"R",49,"R",1622441,"R",13,"R",456976,"R",2,"R",56451
198978,"R",214,"R",10004311,"Z",0,"Z",0,"Z",0,"Z",0,"R",21,"R",1183394,"R",25,"R",1911146,"R",69,"R",2815773,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",39,"R",1786637,"R",60,"R",2307361,"Z",0,"Z",0,"Z",0,"Z",0
198987,"R",130,"R",5738920,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",77376,"R",40,"R",2526724,"R",8,"R",362352,"R",7,"R",319224,"R",13,"R",551040,"Z",0,"Z",0,"R",21,"R",575436,"R",2,"R",60036,"R",35,"R",1212288,"R",2,"R",54444,"Z",0,"Z",0
199023,"R",50,"R",2234572,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",121296,"R",12,"R",803004,"R",5,"R",233352,"R",2,"R",82464,"R",2,"R",85800,"Z",0,"Z",0,"R",3,"R",75768,"Z",0,"Z",0,"R",19,"R",710644,"R",4,"R",122244,"Z",0,"Z",0
199032,"R",77,"R",3313373,"Z",0,"Z",0,"Z",0,"Z",0,"R",34,"R",1132121,"R",6,"R",711560,"R",8,"R",342192,"R",3,"R",148000,"R",22,"R",831300,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",42000,"R",3,"R",106200,"Z",0,"Z",0,"Z",0,"Z",0
199069,"R",202,"R",8814078,"Z",0,"Z",0,"Z",0,"Z",0,"R",61,"R",2086358,"R",52,"R",3607076,"R",6,"R",258214,"R",8,"R",366782,"R",30,"R",1066877,"R",4,"R",145043,"R",18,"R",497774,"Z",0,"Z",0,"R",23,"R",785954,"Z",0,"Z",0,"Z",0,"Z",0
199087,"R",112,"R",5376599,"Z",0,"Z",0,"Z",0,"Z",0,"R",16,"R",727757,"R",24,"R",1775913,"R",6,"R",270126,"R",9,"R",397347,"R",8,"R",368403,"Z",0,"Z",0,"R",20,"R",687581,"R",1,"R",33465,"R",27,"R",1059645,"Z",0,"Z",0,"R",1,"R",56362
199102,"R",1177,"R",64277831,"R",19,"R",1058675,"Z",0,"Z",0,"R",107,"R",5637286,"R",108,"R",13187047,"R",124,"R",7878672,"R",114,"R",7045281,"R",81,"R",5060051,"R",21,"R",1484418,"R",149,"R",5232928,"Z",0,"Z",0,"R",351,"R",13181515,"R",100,"R",4417842,"R",3,"R",94116
199111,"R",471,"R",23515731,"Z",0,"Z",0,"Z",0,"Z",0,"R",43,"R",2129985,"R",44,"R",4766227,"R",43,"R",2553626,"R",36,"R",2187113,"R",46,"R",2401971,"R",5,"R",238782,"R",80,"R",2660472,"R",2,"R",64000,"R",121,"R",4499601,"R",48,"R",1912527,"R",3,"R",101427
199120,"R",9012,"R",569022032,"R",1017,"R",68134401,"R",17,"R",2625560,"R",511,"R",37889123,"R",198,"R",34302784,"R",985,"R",77797490,"R",1991,"R",140188666,"R",435,"R",34516871,"R",475,"R",25587646,"R",768,"R",26298510,"Z",0,"Z",0,"R",1836,"R",81209705,"R",755,"R",39650637,"R",24,"R",820639
199139,"R",2366,"R",140461972,"R",32,"R",1366877,"Z",0,"Z",0,"R",179,"R",11696532,"R",185,"R",26892118,"R",236,"R",15824229,"R",286,"R",22226714,"R",218,"R",13327114,"R",37,"R",2574917,"R",366,"R",12411544,"R",1,"R",40123,"R",557,"R",21993392,"R",263,"R",11926310,"R",6,"R",182102
199148,"R",1705,"R",97964447,"R",1,"R",49318,"R",1,"R",61379,"R",265,"R",13654407,"R",131,"R",17884540,"R",236,"R",14315422,"R",313,"R",20636795,"R",95,"R",5651995,"R",27,"R",1707030,"R",245,"R",8426353,"R",2,"R",72672,"R",255,"R",10004157,"R",120,"R",5049238,"R",14,"R",451141
199157,"R",822,"R",46142278,"R",2,"R",158477,"Z",0,"Z",0,"R",77,"R",4078671,"R",121,"R",12048238,"R",78,"R",4720805,"R",53,"R",3324573,"R",93,"R",5641183,"R",22,"R",1208359,"R",111,"R",3895585,"Z",0,"Z",0,"R",195,"R",7648317,"R",68,"R",3336028,"R",2,"R",82042
199175,"R",437,"R",33347425,"Z",0,"Z",0,"Z",0,"Z",0,"R",25,"R",1293908,"R",57,"R",9428220,"R",104,"R",7408061,"R",68,"R",5453912,"R",68,"R",4825083,"R",1,"R",79454,"R",19,"R",691159,"Z",0,"Z",0,"R",74,"R",3242444,"R",21,"R",925184,"Z",0,"Z",0
199184,"R",307,"R",16620116,"Z",0,"Z",0,"Z",0,"Z",0,"R",16,"R",768296,"R",44,"R",4830754,"R",31,"R",1811263,"R",19,"R",1355384,"R",24,"R",1230646,"R",4,"R",200988,"R",69,"R",2415044,"R",1,"R",37500,"R",67,"R",2635337,"R",30,"R",1253734,"R",2,"R",81170
